-303,-8253,786
-261,-8279,756
-329,-8277,704
-345,-8375,716
-279,-8315,740
-279,-8315,740
-299,-8287,760
-311,-8315,864
-335,-8327,780
-311,-8315,704
-335,-8295,830
-317,-8275,822
-295,-8313,756
-319,-8307,768
-287,-8283,746
-287,-8297,686
-287,-8297,686
-257,-8325,736
-297,-8311,768
-287,-8299,774
-131,12,9034
-99,-3,8952
-133,48,8962
-97,28,8930
-99,-9,8966
-99,-9,8966
-125,50,8952
-121,14,8926
-111,24,9008
-149,20,9118
-159,-7,8920
-143,20,8972
-143,20,8972
-119,46,8946
-123,62,8914
-149,34,8970
-161,8,9000
-155,16,8998
-155,16,8998
-117,2,9028
-149,40,8984
-129,28,8986
-99,8,8918
-125,-35,8942
-165,-33,8996
-165,-33,8996
-115,14,9012
-129,46,9000
-113,2,8952
-131,22,8976
-103,-5,8984
-145,-37,9018
-91,-13,8980
-91,-13,8980
-171,16,8946
-177,-17,9040
-135,14,9062
-105,58,9030
-69,22,9022
-69,22,9022
-61,0,9030
-119,-17,9044
-145,16,9012
-125,-47,8932
-119,0,8952
-109,42,8982
-109,42,8982
-153,30,8954
-145,42,8944
-125,46,8952
-117,24,8970
-89,56,8946
-115,-23,8972
-131,-11,9010
-131,-11,9010
-123,48,8950
-105,6,8902
-115,40,8946
-161,22,8984
-135,14,8996
-145,-5,8978
-145,-5,8978
-153,12,8962
-129,14,8976
-79,12,8998
-117,32,9052
-151,16,9010
-151,16,9010
-181,-3,9004
-127,8,8952
-105,30,8972
-105,36,8942
-127,16,9018
-89,6,8986
-117,30,8934
-117,30,8934
-119,62,8984
-109,92,9010
-63,46,8982
-89,14,8930
-95,54,8940
-85,38,9004
-85,38,9004
-95,34,8986
-157,8,8978
-161,34,8976
-99,48,8966
-117,38,9000
-117,38,9000
-103,14,9006
-115,34,9030
-97,2,9042
-105,20,8974
-125,12,8944
-119,68,9016
-119,68,9016
-163,56,8958
-159,64,9020
-115,2,8944
-143,14,8978
-139,66,8990
-125,26,8982
-125,26,8982
-117,54,8968
-129,30,9000
-81,20,9030
-113,30,8990
-145,28,8990
-145,28,8990
-119,10,8960
-147,42,8980
-103,38,8960
-93,20,8934
-135,36,8976
-139,8,8958
-109,12,8932
-109,12,8932
-111,40,8906
-99,62,8948
-83,12,8982
-139,22,8994
-115,-11,8978
-119,60,8948
-119,60,8948
-121,46,8922
-139,0,8908
-125,26,8928
-99,-33,8982
-89,-29,8988
-89,-29,8988
-135,-9,8922
-135,-9,8922
-141,18,8858
-171,6,8996
-95,38,9014
-89,4,8980
-111,-27,8972
-111,-27,8972
-99,0,8950
-87,-33,8968
-119,22,8942
-105,12,9030
-121,6,9016
-157,-13,8990
-143,4,8932
-143,4,8932
