-99,38,8962
-99,38,8962
-143,38,8994
-145,40,8954
-129,32,9004
-133,4,8960
-141,2,8950
-141,2,8950
-129,8,8994
-81,40,8944
-117,8,8962
-99,-11,8952
-99,-11,8952
-149,40,8992
-163,62,8972
-187,20,8926
-191,50,8888
-143,14,8946
-143,14,8946
-137,2,8970
-549,-199,-7687
-583,-205,-7709
-591,-239,-7777
-637,-211,-7693
-607,-211,-7747
-607,-211,-7747
-563,-225,-7735
-631,-283,-7737
-653,-215,-7777
-607,-189,-7757
-567,-247,-7751
-599,-267,-7759
-599,-267,-7759
-603,-251,-7761
-607,-237,-7697
-609,-215,-7735
-573,-197,-7777
-607,-219,-7715
-607,-219,-7715
-653,-255,-7669
-567,-229,-7743
-547,-209,-7743
-639,-157,-7681
-609,-153,-7691
-509,-235,-7733
-563,-239,-7747
-563,-239,-7747
-571,-237,-7741
-577,-215,-7707
-569,-215,-7725
-583,-209,-7721
-521,-255,-7671
-521,-255,-7671
-577,-263,-7743
-637,-193,-7763
-637,-173,-7741
-639,-273,-7759
-661,-243,-7729
-661,-243,-7729
-601,-199,-7683
-589,-239,-7713
-607,-217,-7769
-673,-197,-7735
-663,-229,-7725
-603,-237,-7767
-603,-237,-7767
-575,-213,-7707
-621,-189,-7699
-617,-215,-7733
-643,-211,-7729
-633,-209,-7777
-645,-229,-7737
-603,-223,-7713
-603,-223,-7713
-637,-215,-7779
-663,-221,-7773
-599,-215,-7693
-569,-245,-7735
-583,-225,-7767
-583,-225,-7767
-599,-243,-7711
-599,-243,-7711
-561,-237,-7709
-617,-207,-7735
-651,-213,-7707
-597,-209,-7779
-569,-203,-7761
-569,-203,-7761
-585,-213,-7729
-615,-209,-7765
-613,-203,-7727
-627,-239,-7729
-567,-207,-7665
-641,-227,-7721
-637,-215,-7797
-637,-215,-7797
-615,-187,-7773
-625,-245,-7751
-605,-205,-7689
-607,-199,-7709
-639,-207,-7665
-653,-255,-7687
-653,-255,-7687
-555,-227,-7755
-565,-215,-7741
-629,-217,-7717
-635,-215,-7707
-571,-229,-7691
-571,-229,-7691
-565,-233,-7751
-655,-167,-7705
-639,-217,-7757
-645,-209,-7671
-615,-189,-7631
-613,-207,-7707
-613,-207,-7707
-585,-235,-7679
-621,-197,-7649
-607,-189,-7707
-627,-183,-7787
-583,-263,-7737
-621,-237,-7667
-621,-237,-7667
-711,-181,-7713
-639,-173,-7751
-601,-181,-7745
-561,-215,-7691
-569,-235,-7703
-569,-235,-7703
-597,-209,-7711
-605,-217,-7731
-619,-185,-7763
-581,-171,-7739
-603,-193,-7729
-585,-235,-7713
